agencyCode,agencyName,budgetAccountCode,budgetAccountName,fiscalYear,fundingType,amount
021,"Department of Transportation",021-04-1730,"Research and Technology",2025,"CIO Authority",17.56163
021,"Department of Transportation",021-04-1730,"Research and Technology",2025,"Budget Authority",17.56163
021,"Department of Transportation",021-04-1730,"Research and Technology",2025,"Funding Total",28.679525
021,"Department of Transportation",021-70-1710,"Ready Reserve Force",2025,"CIO Authority",2.089624
021,"Department of Transportation",021-70-1710,"Ready Reserve Force",2025,"Budget Authority",2.089624
021,"Department of Transportation",021-70-1710,"Ready Reserve Force",2025,"Funding Total",2.240429
021,"Department of Transportation",021-18-8020,"Highway Traffic Safety Grants",2025,"CIO Authority",5.063973
021,"Department of Transportation",021-18-8020,"Highway Traffic Safety Grants",2025,"Budget Authority",5.063973
021,"Department of Transportation",021-18-8020,"Highway Traffic Safety Grants",2025,"Funding Total",3.646364
021,"Department of Transportation",021-36-8350,"Transit Formula Grants",2025,"CIO Authority",3.199648
021,"Department of Transportation",021-36-8350,"Transit Formula Grants",2025,"Budget Authority",3.199648
021,"Department of Transportation",021-36-8350,"Transit Formula Grants",2025,"Funding Total",2.694
021,"Department of Transportation",021-18-8016,"Operations and Research (Highway Trust Fund)",2025,"CIO Authority",85.824347
021,"Department of Transportation",021-18-8016,"Operations and Research (Highway Trust Fund)",2025,"Budget Authority",85.824347
021,"Department of Transportation",021-18-8016,"Operations and Research (Highway Trust Fund)",2025,"Funding Total",132.123182
021,"Department of Transportation",021-15-8083,"Federal-aid Highways",2025,"CIO Authority",0
021,"Department of Transportation",021-15-8083,"Federal-aid Highways",2025,"Budget Authority",0
021,"Department of Transportation",021-15-8083,"Federal-aid Highways",2025,"Funding Total",217.330091
021,"Department of Transportation",021-27-0745,"Railroad Research and Development",2025,"CIO Authority",0.613094
021,"Department of Transportation",021-27-0745,"Railroad Research and Development",2025,"Budget Authority",0.613094
021,"Department of Transportation",021-27-0745,"Railroad Research and Development",2025,"Funding Total",0.407
021,"Department of Transportation",027-00-0100,"Salaries and Expenses",2025,"CIO Authority",0
021,"Department of Transportation",027-00-0100,"Salaries and Expenses",2025,"Budget Authority",0
021,"Department of Transportation",027-00-0100,"Salaries and Expenses",2025,"Funding Total",4.506454
021,"Department of Transportation",021-27-0700,"Safety and Operations",2025,"CIO Authority",0.9703
021,"Department of Transportation",021-27-0700,"Safety and Operations",2025,"Budget Authority",0.9703
021,"Department of Transportation",021-27-0700,"Safety and Operations",2025,"Funding Total",32.941729
021,"Department of Transportation",021-36-1129,"Formula Grants",2025,"CIO Authority",22.49297
021,"Department of Transportation",021-36-1129,"Formula Grants",2025,"Budget Authority",22.49297
021,"Department of Transportation",021-36-1129,"Formula Grants",2025,"Funding Total",21.242
021,"Department of Transportation",021-36-1120,"Administrative expenses",2025,"CIO Authority",26.578368
021,"Department of Transportation",021-36-1120,"Administrative expenses",2025,"Budget Authority",26.578368
021,"Department of Transportation",021-36-1120,"Administrative expenses",2025,"Funding Total",51.473888
021,"Department of Transportation",021-50-1401,"Hazardous Materials Safety",2025,"CIO Authority",0
021,"Department of Transportation",021-50-1401,"Hazardous Materials Safety",2025,"Budget Authority",0
021,"Department of Transportation",021-50-1401,"Hazardous Materials Safety",2025,"Funding Total",7.589356
021,"Department of Transportation",021-12-4562,"Administrative Services Franchise Fund",2025,"CIO Authority",41.568366
021,"Department of Transportation",021-12-4562,"Administrative Services Franchise Fund",2025,"Budget Authority",41.641889
021,"Department of Transportation",021-12-4562,"Administrative Services Franchise Fund",2025,"Funding Total",80.456236
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2025,"CIO Authority",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2025,"Budget Authority",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2025,"Funding Total",0
021,"Department of Transportation",021-04-0106,"Supplemental Discretionary Grants for a National Surface Transportation System, Recovery Act",2025,"CIO Authority",0
021,"Department of Transportation",021-04-0106,"Supplemental Discretionary Grants for a National Surface Transportation System, Recovery Act",2025,"Budget Authority",0
021,"Department of Transportation",021-04-0106,"Supplemental Discretionary Grants for a National Surface Transportation System, Recovery Act",2025,"Funding Total",1.99724
021,"Department of Transportation",005-04-9914,"Executive Operations",2025,"CIO Authority",5.267
021,"Department of Transportation",005-04-9914,"Executive Operations",2025,"Budget Authority",5.267
021,"Department of Transportation",005-04-9914,"Executive Operations",2025,"Funding Total",17.427639
021,"Department of Transportation",021-50-1400,"Operational Expenses",2025,"CIO Authority",0
021,"Department of Transportation",021-50-1400,"Operational Expenses",2025,"Budget Authority",0
021,"Department of Transportation",021-50-1400,"Operational Expenses",2025,"Funding Total",33.463206
021,"Department of Transportation",014-05-4519,"Working Capital Fund",2025,"CIO Authority",0
021,"Department of Transportation",014-05-4519,"Working Capital Fund",2025,"Budget Authority",0
021,"Department of Transportation",014-05-4519,"Working Capital Fund",2025,"Funding Total",1.065513
021,"Department of Transportation",007-10-3400,"Operation and Maintenance, Air Force",2025,"CIO Authority",0
021,"Department of Transportation",007-10-3400,"Operation and Maintenance, Air Force",2025,"Budget Authority",0
021,"Department of Transportation",007-10-3400,"Operation and Maintenance, Air Force",2025,"Funding Total",0
021,"Department of Transportation",001-35-0107,"Salaries and Expenses",2025,"CIO Authority",0
021,"Department of Transportation",001-35-0107,"Salaries and Expenses",2025,"Budget Authority",0
021,"Department of Transportation",001-35-0107,"Salaries and Expenses",2025,"Funding Total",0
021,"Department of Transportation",343-00-0100,"Salaries and Expenses",2025,"CIO Authority",0
021,"Department of Transportation",343-00-0100,"Salaries and Expenses",2025,"Budget Authority",0
021,"Department of Transportation",343-00-0100,"Salaries and Expenses",2025,"Funding Total",0
021,"Department of Transportation",417-00-0100,"Grants and Administration",2025,"CIO Authority",0
021,"Department of Transportation",417-00-0100,"Grants and Administration",2025,"Budget Authority",0
021,"Department of Transportation",417-00-0100,"Grants and Administration",2025,"Funding Total",0.5248
021,"Department of Transportation",021-04-4522,"Working Capital Fund, Volpe National Transportation Systems Center",2025,"CIO Authority",17.573932
021,"Department of Transportation",021-04-4522,"Working Capital Fund, Volpe National Transportation Systems Center",2025,"Budget Authority",17.573932
021,"Department of Transportation",021-04-4522,"Working Capital Fund, Volpe National Transportation Systems Center",2025,"Funding Total",34.01885
021,"Department of Transportation",021-12-8108,"Research, Engineering and Development (Airport and Airway Trust Fund)",2025,"CIO Authority",0.778319
021,"Department of Transportation",021-12-8108,"Research, Engineering and Development (Airport and Airway Trust Fund)",2025,"Budget Authority",0.786778
021,"Department of Transportation",021-12-8108,"Research, Engineering and Development (Airport and Airway Trust Fund)",2025,"Funding Total",0.778319
021,"Department of Transportation",021-04-0159,"Cyber Security Initiatives",2025,"CIO Authority",76.018775
021,"Department of Transportation",021-04-0159,"Cyber Security Initiatives",2025,"Budget Authority",76.018775
021,"Department of Transportation",021-04-0159,"Cyber Security Initiatives",2025,"Funding Total",82.170582
021,"Department of Transportation",021-70-1711,"Maritime Security Program",2025,"CIO Authority",2.457062
021,"Department of Transportation",021-70-1711,"Maritime Security Program",2025,"Budget Authority",2.457062
021,"Department of Transportation",021-70-1711,"Maritime Security Program",2025,"Funding Total",12.284295
021,"Department of Transportation",184-25-1001,"Trade and Development Agency",2025,"CIO Authority",0
021,"Department of Transportation",184-25-1001,"Trade and Development Agency",2025,"Budget Authority",0
021,"Department of Transportation",184-25-1001,"Trade and Development Agency",2025,"Funding Total",0
021,"Department of Transportation",006-48-1450,"Operations, Research, and Facilities",2025,"CIO Authority",0
021,"Department of Transportation",006-48-1450,"Operations, Research, and Facilities",2025,"Budget Authority",0
021,"Department of Transportation",006-48-1450,"Operations, Research, and Facilities",2025,"Funding Total",2.220885
021,"Department of Transportation",021-15-9911,"Miscellaneous appropriations",2025,"CIO Authority",0
021,"Department of Transportation",021-15-9911,"Miscellaneous appropriations",2025,"Budget Authority",0
021,"Department of Transportation",021-15-9911,"Miscellaneous appropriations",2025,"Funding Total",0.226996
021,"Department of Transportation",339-00-1400,"Commodity Futures Trading Commission",2025,"CIO Authority",0
021,"Department of Transportation",339-00-1400,"Commodity Futures Trading Commission",2025,"Budget Authority",0
021,"Department of Transportation",339-00-1400,"Commodity Futures Trading Commission",2025,"Funding Total",1.19204
021,"Department of Transportation",429-00-0200,"Salaries and Expenses",2025,"CIO Authority",0
021,"Department of Transportation",429-00-0200,"Salaries and Expenses",2025,"Budget Authority",0
021,"Department of Transportation",429-00-0200,"Salaries and Expenses",2025,"Funding Total",0
021,"Department of Transportation",024-60-0610,"Operations and Support",2025,"CIO Authority",0
021,"Department of Transportation",024-60-0610,"Operations and Support",2025,"Budget Authority",0
021,"Department of Transportation",024-60-0610,"Operations and Support",2025,"Funding Total",0.145655
021,"Department of Transportation",020-00-0108,"Environmental Programs and Management",2025,"CIO Authority",0
021,"Department of Transportation",020-00-0108,"Environmental Programs and Management",2025,"Budget Authority",0
021,"Department of Transportation",020-00-0108,"Environmental Programs and Management",2025,"Funding Total",4.034196
021,"Department of Transportation",021-61-0301,"Salaries and Expenses",2025,"CIO Authority",0
021,"Department of Transportation",021-61-0301,"Salaries and Expenses",2025,"Budget Authority",0
021,"Department of Transportation",021-61-0301,"Salaries and Expenses",2025,"Funding Total",0.20282
021,"Department of Transportation",021-36-1137,"Transit Research",2025,"CIO Authority",0
021,"Department of Transportation",021-36-1137,"Transit Research",2025,"Budget Authority",0
021,"Department of Transportation",021-36-1137,"Transit Research",2025,"Funding Total",0.07387
021,"Department of Transportation",021-36-1125,"Job Access and Reverse Commute Grants",2025,"CIO Authority",0
021,"Department of Transportation",021-36-1125,"Job Access and Reverse Commute Grants",2025,"Budget Authority",0
021,"Department of Transportation",021-36-1125,"Job Access and Reverse Commute Grants",2025,"Funding Total",0.9
021,"Department of Transportation",415-00-4056,"Operating Fund",2025,"CIO Authority",0
021,"Department of Transportation",415-00-4056,"Operating Fund",2025,"Budget Authority",0
021,"Department of Transportation",415-00-4056,"Operating Fund",2025,"Funding Total",1.52531
021,"Department of Transportation",009-90-9912,"General Departmental Management",2025,"CIO Authority",0
021,"Department of Transportation",009-90-9912,"General Departmental Management",2025,"Budget Authority",0
021,"Department of Transportation",009-90-9912,"General Departmental Management",2025,"Funding Total",0.114759
021,"Department of Transportation",474-00-0300,"Office of Museum and Library Services: Grants and Administration",2025,"CIO Authority",0
021,"Department of Transportation",474-00-0300,"Office of Museum and Library Services: Grants and Administration",2025,"Budget Authority",0
021,"Department of Transportation",474-00-0300,"Office of Museum and Library Services: Grants and Administration",2025,"Funding Total",0.29702
021,"Department of Transportation",413-00-3500,"Salaries and Expenses",2025,"CIO Authority",0
021,"Department of Transportation",413-00-3500,"Salaries and Expenses",2025,"Budget Authority",0
021,"Department of Transportation",413-00-3500,"Salaries and Expenses",2025,"Funding Total",0.067804
021,"Department of Transportation",024-58-0530,"Operations and Support",2025,"CIO Authority",0
021,"Department of Transportation",024-58-0530,"Operations and Support",2025,"Budget Authority",0
021,"Department of Transportation",024-58-0530,"Operations and Support",2025,"Funding Total",0.043549
021,"Department of Transportation",021-04-0116,"Financial Management Capital",2025,"CIO Authority",0
021,"Department of Transportation",021-04-0116,"Financial Management Capital",2025,"Budget Authority",0
021,"Department of Transportation",021-04-0116,"Financial Management Capital",2025,"Funding Total",0
021,"Department of Transportation",422-00-0180,"Agency Operations and Award Management",2025,"CIO Authority",0
021,"Department of Transportation",422-00-0180,"Agency Operations and Award Management",2025,"Budget Authority",0
021,"Department of Transportation",422-00-0180,"Agency Operations and Award Management",2025,"Funding Total",0.000489
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2022,"CIO Authority",0
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2022,"Budget Authority",0
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2022,"Funding Total",72.503211
018,"Department of Education",018-45-0202,"Student Aid Administration",2022,"CIO Authority",0
018,"Department of Education",018-45-0202,"Student Aid Administration",2022,"Budget Authority",0
018,"Department of Education",018-45-0202,"Student Aid Administration",2022,"Funding Total",730.505668
018,"Department of Education",018-80-0800,"Program Administration",2022,"CIO Authority",0
018,"Department of Education",018-80-0800,"Program Administration",2022,"Budget Authority",0
018,"Department of Education",018-80-0800,"Program Administration",2022,"Funding Total",143.275049
018,"Department of Education",018-80-0700,"Office for Civil Rights",2022,"CIO Authority",0
018,"Department of Education",018-80-0700,"Office for Civil Rights",2022,"Budget Authority",0
018,"Department of Education",018-80-0700,"Office for Civil Rights",2022,"Funding Total",21.485435
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2022,"CIO Authority",0
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2022,"Budget Authority",0
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2022,"Funding Total",0.046379
018,"Department of Education",018-80-1400,"Office of Inspector General",2022,"CIO Authority",0
018,"Department of Education",018-80-1400,"Office of Inspector General",2022,"Budget Authority",0
018,"Department of Education",018-80-1400,"Office of Inspector General",2022,"Funding Total",6.968561
018,"Department of Education",018-40-0201,"Higher Education",2022,"CIO Authority",0
018,"Department of Education",018-40-0201,"Higher Education",2022,"Budget Authority",0
018,"Department of Education",018-40-0201,"Higher Education",2022,"Funding Total",1
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2022,"CIO Authority",0
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2022,"Budget Authority",0
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2022,"Funding Total",0.047381
018,"Department of Education",018-45-0202,"Student Aid Administration",2023,"CIO Authority",870.617768
018,"Department of Education",018-45-0202,"Student Aid Administration",2023,"Budget Authority",859.715959
018,"Department of Education",018-45-0202,"Student Aid Administration",2023,"Funding Total",1081.872725
018,"Department of Education",018-80-0800,"Program Administration",2023,"CIO Authority",164.565969
018,"Department of Education",018-80-0800,"Program Administration",2023,"Budget Authority",155.859965
018,"Department of Education",018-80-0800,"Program Administration",2023,"Funding Total",152.149428
018,"Department of Education",018-80-0700,"Office for Civil Rights",2023,"CIO Authority",23.723392
018,"Department of Education",018-80-0700,"Office for Civil Rights",2023,"Budget Authority",23.803385
018,"Department of Education",018-80-0700,"Office for Civil Rights",2023,"Funding Total",20.680287
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2023,"CIO Authority",70.38849
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2023,"Budget Authority",70.445524
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2023,"Funding Total",82.388556
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2023,"CIO Authority",0.050453
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2023,"Budget Authority",0.051453
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2023,"Funding Total",0.039205
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2023,"CIO Authority",0.050453
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2023,"Budget Authority",0.051453
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2023,"Funding Total",0.035205
018,"Department of Education",018-80-1400,"Office of Inspector General",2023,"CIO Authority",7.37496
018,"Department of Education",018-80-1400,"Office of Inspector General",2023,"Budget Authority",7.358493
018,"Department of Education",018-80-1400,"Office of Inspector General",2023,"Funding Total",7.347881
018,"Department of Education",018-40-0201,"Higher Education",2023,"CIO Authority",0.015
018,"Department of Education",018-40-0201,"Higher Education",2023,"Budget Authority",0.015
018,"Department of Education",018-40-0201,"Higher Education",2023,"Funding Total",0.918
018,"Department of Education",018-45-0202,"Student Aid Administration",2024,"CIO Authority",1416.45293
018,"Department of Education",018-45-0202,"Student Aid Administration",2024,"Budget Authority",1886.883137
018,"Department of Education",018-45-0202,"Student Aid Administration",2024,"Funding Total",1013.398514
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2024,"CIO Authority",91.822839
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2024,"Budget Authority",91.822839
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2024,"Funding Total",88.965117
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2024,"CIO Authority",0.048083
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2024,"Budget Authority",0.048083
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2024,"Funding Total",0.040896
018,"Department of Education",018-80-0800,"Program Administration",2024,"CIO Authority",191.280278
018,"Department of Education",018-80-0800,"Program Administration",2024,"Budget Authority",189.485845
018,"Department of Education",018-80-0800,"Program Administration",2024,"Funding Total",160.047589
018,"Department of Education",018-80-0700,"Office for Civil Rights",2024,"CIO Authority",27.585734
018,"Department of Education",018-80-0700,"Office for Civil Rights",2024,"Budget Authority",27.502734
018,"Department of Education",018-80-0700,"Office for Civil Rights",2024,"Funding Total",22.826239
018,"Department of Education",018-80-1400,"Office of Inspector General",2024,"CIO Authority",12.270501
018,"Department of Education",018-80-1400,"Office of Inspector General",2024,"Budget Authority",10.066382
018,"Department of Education",018-80-1400,"Office of Inspector General",2024,"Funding Total",10.971432
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2024,"CIO Authority",0.048083
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2024,"Budget Authority",0.048083
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2024,"Funding Total",0.040896
018,"Department of Education",018-40-0201,"Higher Education",2024,"CIO Authority",1.053
018,"Department of Education",018-40-0201,"Higher Education",2024,"Budget Authority",1.053
018,"Department of Education",018-40-0201,"Higher Education",2024,"Funding Total",1.053
018,"Department of Education",018-80-0800,"Program Administration",2025,"CIO Authority",174.902114
018,"Department of Education",018-80-0800,"Program Administration",2025,"Budget Authority",175.892906
018,"Department of Education",018-80-0800,"Program Administration",2025,"Funding Total",153.520563
018,"Department of Education",018-45-0202,"Student Aid Administration",2025,"CIO Authority",1388.917718
018,"Department of Education",018-45-0202,"Student Aid Administration",2025,"Budget Authority",1389.390392
018,"Department of Education",018-45-0202,"Student Aid Administration",2025,"Funding Total",1383.599849
018,"Department of Education",018-80-0700,"Office for Civil Rights",2025,"CIO Authority",25.691109
018,"Department of Education",018-80-0700,"Office for Civil Rights",2025,"Budget Authority",25.691109
018,"Department of Education",018-80-0700,"Office for Civil Rights",2025,"Funding Total",27.590576
018,"Department of Education",018-40-0201,"Higher Education",2025,"CIO Authority",0.8373
018,"Department of Education",018-40-0201,"Higher Education",2025,"Budget Authority",0.8373
018,"Department of Education",018-40-0201,"Higher Education",2025,"Funding Total",1.093162
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2025,"CIO Authority",88.263546
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2025,"Budget Authority",88.263546
018,"Department of Education",018-50-1100,"Institute of Education Sciences",2025,"Funding Total",83.652054
018,"Department of Education",018-80-1400,"Office of Inspector General",2025,"CIO Authority",11.600142
018,"Department of Education",018-80-1400,"Office of Inspector General",2025,"Budget Authority",11.30951
018,"Department of Education",018-80-1400,"Office of Inspector General",2025,"Funding Total",13.376529
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2025,"CIO Authority",0.048136
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2025,"Budget Authority",0.04811
018,"Department of Education",018-40-0241,"College Housing and Academic Facilities Loans Program Account",2025,"Funding Total",0.059909
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2025,"CIO Authority",0.048136
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2025,"Budget Authority",0.048136
018,"Department of Education",018-40-4255,"Historically Black College and University Capital Financing Direct Loan Financing Account",2025,"Funding Total",0.059909
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2022,"Funding Total",79.1079
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2022,"Funding Total",296.9915
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2022,"Funding Total",7.226
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2022,"Funding Total",1.5317
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2022,"Funding Total",82.9769
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2022,"Funding Total",0.7124
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2022,"Funding Total",4.5523
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2022,"Funding Total",4.108
020,"Environmental Protection Agency",020-00-5374,"Pesticide Registration Fund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-5374,"Pesticide Registration Fund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-5374,"Pesticide Registration Fund",2022,"Funding Total",6.4345
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2023,"CIO Authority",1.722001
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2023,"Budget Authority",1.722001
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2023,"Funding Total",7.6969
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2023,"CIO Authority",284.897013
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2023,"Budget Authority",284.129013
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2023,"Funding Total",315.811725
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2023,"CIO Authority",63.997999
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2023,"Budget Authority",63.941999
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2023,"Funding Total",99.990891000001
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2023,"CIO Authority",2.921005
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2023,"Budget Authority",2.921005
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2023,"Funding Total",1.6198
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2023,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2023,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2023,"Funding Total",10.8513
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2023,"CIO Authority",0.301009
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2023,"Budget Authority",0.301009
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2023,"Funding Total",0.6495
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2023,"CIO Authority",74.665008
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2023,"Budget Authority",74.376006
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2023,"Funding Total",98.65174
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2023,"CIO Authority",0.726001
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2023,"Budget Authority",0.726001
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2023,"Funding Total",1.11875
020,"Environmental Protection Agency",020-00-0110,"Buildings and Facilities",2023,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0110,"Buildings and Facilities",2023,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0110,"Buildings and Facilities",2023,"Funding Total",0.4679
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2024,"CIO Authority",5.8558
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2024,"Budget Authority",3.2385
020,"Environmental Protection Agency",020-00-8221,"Inland Oil Spill Programs",2024,"Funding Total",5.8558
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2024,"CIO Authority",0.6272
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2024,"Budget Authority",0.508
020,"Environmental Protection Agency",020-00-8153,"Leaking Underground Storage Tank Trust Fund",2024,"Funding Total",0.6272
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2024,"CIO Authority",0.084
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2024,"Budget Authority",84.564
020,"Environmental Protection Agency",020-00-0107,"Science and Technology",2024,"Funding Total",84.8005
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2024,"CIO Authority",0.9589
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2024,"Budget Authority",1.2296
020,"Environmental Protection Agency",020-00-0112,"Office of Inspector General",2024,"Funding Total",1.1829
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2024,"CIO Authority",1.9159
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2024,"Budget Authority",1.9159
020,"Environmental Protection Agency",020-00-0103,"State and Tribal Assistance Grants",2024,"Funding Total",1.9159
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2024,"CIO Authority",324.6159
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2024,"Budget Authority",329.5797
020,"Environmental Protection Agency",020-00-0108,"Environmental Programs and Management",2024,"Funding Total",329.2966
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2024,"CIO Authority",44.8004
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2024,"Budget Authority",72.458
020,"Environmental Protection Agency",020-00-0250,"Payment to the Hazardous Substance Superfund",2024,"Funding Total",44.8004
020,"Environmental Protection Agency",020-00-4330,"Hazardous Waste Electronic Manifest System Fund",2024,"CIO Authority",0
